ID	venue	format	title	focus	x	y	user	medium	explanation	tour	path	verifiction	data	scenario	task
P18	NONE	Digital Logbook	Public by Default	platform	-0.6131115245	17.48155555	1	3	4	Open Ended	Iterative	1	2	Multiple	Understanding
P24	NONE	Tool	Techable Machine	platform	-22.50513151	-9.886511238	2	3	1	Guided	Iterative	1	1	Multiple	Understanding
P26	NONE	Guidelines	Machine Learning for Artists	platform	13.42565844	18.43393478	1	2	1	Guided	Iterative	1	1	Multiple	Understanding
P22	NONE	Documentary	Coded Bias	platform	-11.90215662	5.732651322	1	1	1	Guided	Iterative	1	3	Multiple	Understanding
P23	NONE	Research Report	Excavating AI	platform	-9.229111462	13.48889026	1	2	1	Guided	Iterative	1	2	Multiple	Understanding
P25	NONE	Video	Not Flawless	platform	-11.26127985	4.642284958	1	1	1	Guided	Iterative	1	3	Multiple	Understanding
P28	NONE	Research Report	Anatomies of Intelligence	platform	-25.12254026	8.922352402	2	4	2	Open Ended	Iterative	0	2	Multiple	Understanding
P29	NONE	Tool	Gloomy Sunday	platform	-8.500388889	14.33194503	1	3	1	Guided	Iterative	1	2	Multiple	Understanding
P30	NONE	Exhibition	Training Humans	platform	-26.97934607	7.98696193	1	2	3	Guided	Iterative	1	3	Exhibition	Understanding
P31	NONE	Exhibition	Anatomy of an AI System	platform	-26.12005117	6.940588562	1	1	3	Open Ended	Iterative	0	2	Exhibition	Telling
P39	VISAP	Exhibition	Decomposition of Human Portraits	object	-25.35510519	7.987677186	1	2	1	Open Ended	Iterative	0	1	Exhibition	Telling
P42	VISXAI	Interactive Article	Forma Fluens	model	16.05130312	18.64949569	3	5	1	Guided	Linear	1	1	Multiple	Understanding
P32	NONE	Digital Logbook	Deepfake Lab	platform	-8.571471004	12.68564662	1	3	3	Guided	Iterative	1	2	Multiple	Understanding
P34	NONE	Scrollytelling Story	IAQOS	platform	-12.02791574	6.859681218	1	1	1	Guided	Iterative	0	2	Multiple	Understanding
P21	NONE	Research Report	Algoglitch	platform	-23.27129629	5.323290913	1	2	2	Open Ended	Iterative	0	1	Multiple	Telling
P38	VISAP	Exhibition	Artificial Senses	object	-24.06261328	6.220296948	1	2	2	Open Ended	Iterative	0	1	Multiple	Telling
R01	CHI	Guidelines	Researching AI Legibility Through Design	theory	-18.03418043	-11.3408598	1	1	2	-	-	1	1	Multiple	Understanding
